,alpha,type,mesh_size,order
89,3.396358767883625,ehdg,0.125,1
90,3.598197599100222,ehdg,0.125,1
91,3.9532937103727614,ehdg,0.125,1
92,3.28916273517729,ehdg,0.125,1
93,7.061879666899613,ehdg,0.125,1
94,3.0898217950805957,ehdg,0.125,1
95,7.130559289627924,ehdg,0.125,1
96,6.99568799996694,ehdg,0.125,1
97,3.257424442517339,ehdg,0.125,1
98,3.592750352740603,ehdg,0.125,1
99,3.345149941849928,ehdg,0.125,1
100,3.277566200247265,ehdg,0.125,1
101,3.412334321540665,ehdg,0.125,1
102,3.1776746103160276,ehdg,0.125,1
103,3.393153049224061,ehdg,0.125,1
104,3.298842019851922,ehdg,0.125,1
105,3.558976623747076,ehdg,0.125,1
106,3.1412375459034894,ehdg,0.125,1
107,3.2608896145287916,ehdg,0.125,1
108,3.1806960070816253,ehdg,0.125,1
109,3.2225431636923734,ehdg,0.125,1
110,3.111050223070849,ehdg,0.125,1
111,3.1084725373046025,ehdg,0.125,1
112,3.1453079214730417,ehdg,0.125,1
113,3.189201069281907,ehdg,0.125,1
114,3.4479803925682275,ehdg,0.125,1
115,3.4305726629940043,ehdg,0.125,1
116,3.3637221572371314,ehdg,0.125,1
117,3.155799817855931,ehdg,0.125,1
118,3.2263160568513545,ehdg,0.125,1
119,3.2340502527995687,ehdg,0.125,1
120,3.3190519086889996,ehdg,0.125,1
121,3.2809919056353647,ehdg,0.125,1
122,3.6822209547870393,ehdg,0.125,1
123,3.3758940961423396,ehdg,0.125,1
124,7.003777267374666,ehdg,0.125,1
125,3.2511446661772117,ehdg,0.125,1
126,3.627315999788567,ehdg,0.125,1
127,6.987917257165629,ehdg,0.125,1
128,7.686979683581222,ehdg,0.125,1
129,6.815026574384549,ehdg,0.125,1
130,6.487662705996861,ehdg,0.125,1
131,6.999877570182003,ehdg,0.125,1
132,21.859036346392436,ehdg,0.125,1
133,7.010889461040514,ehdg,0.125,1
134,7.337355549232012,ehdg,0.125,1
135,3.223105505998152,ehdg,0.125,1
136,3.33828714817819,ehdg,0.125,1
137,3.118649725917413,ehdg,0.125,1
138,3.7236246393553802,ehdg,0.125,1
139,3.786177389612853,ehdg,0.125,1
140,3.365735741227938,ehdg,0.125,1
141,3.3010652823101454,ehdg,0.125,1
142,3.087694388143794,ehdg,0.125,1
143,3.3401318949745225,ehdg,0.125,1
144,3.0860795627173587,ehdg,0.125,1
145,3.3115737765199436,ehdg,0.125,1
146,3.144587519388379,ehdg,0.125,1
147,3.433478080760798,ehdg,0.125,1
148,3.0182900743350674,ehdg,0.125,1
149,3.1643527888783445,ehdg,0.125,1
150,3.3354485159756346,ehdg,0.125,1
151,6.7420729042844965,ehdg,0.125,1
152,7.753465394799216,ehdg,0.125,1
153,3.1586741107390464,ehdg,0.125,1
154,6.778564858823114,ehdg,0.125,1
155,7.9707792027667494,ehdg,0.125,1
156,3.3690424654336666,ehdg,0.125,1
