,Order,Mesh Size,Error,Alpha,Bonus Int,Type
181,4,0.23299518105153724,9.041188541907794e-05,5,10,ehdg
182,4,0.2222996482526195,8.186362727693348e-05,5,10,ehdg
183,4,0.2120950887920191,6.310592189347612e-05,5,10,ehdg
184,4,0.20235896477251572,5.734149319537911e-05,5,10,ehdg
185,4,0.19306977288832505,5.7662298173493076e-05,5,10,ehdg
186,4,0.18420699693267165,5.745567120865101e-05,5,10,ehdg
187,4,0.1757510624854792,4.2554998959787814e-05,5,10,ehdg
188,4,0.16768329368110083,4.081676204483569e-05,5,10,ehdg
189,4,0.15998587196060585,4.098667322991548e-05,5,10,ehdg
190,4,0.15264179671752337,3.254285839970399e-05,5,10,ehdg
191,4,0.1456348477501244,3.233932453751296e-05,5,10,ehdg
192,4,0.13894954943731377,3.0242321210328168e-05,5,10,ehdg
193,4,0.13257113655901093,2.4822550736833024e-05,5,10,ehdg
194,4,0.12648552168552965,2.1691948618584613e-05,5,10,ehdg
195,4,0.1206792640639329,2.2290922694969392e-05,5,10,ehdg
196,4,0.11513953993264475,1.8617799641355022e-05,5,10,ehdg
197,4,0.10985411419875583,1.6393395205977628e-05,5,10,ehdg
198,4,0.10481131341546858,1.2894463501607069e-05,5,10,ehdg
199,4,0.1,1.2723383500003794e-05,5,10,ehdg
