,Order,Mesh Size,Error,Alpha,Bonus Int,Type
33,1,0.2120950887920191,0.000122655115479432,5,0,hdg
34,1,0.20235896477251572,0.00011139050266461702,5,0,hdg
35,1,0.19306977288832505,0.00010990892881399649,5,0,hdg
36,1,0.18420699693267165,0.00011060265178715814,5,0,hdg
37,1,0.1757510624854792,8.811921484984863e-05,5,0,hdg
38,1,0.16768329368110083,8.413468615810461e-05,5,0,hdg
39,1,0.15998587196060585,9.151097849195812e-05,5,0,hdg
40,1,0.15264179671752337,7.967493513888187e-05,5,0,hdg
41,1,0.1456348477501244,8.168699848662433e-05,5,0,hdg
42,1,0.13894954943731377,0.0001111643508996218,5,0,hdg
43,1,0.13257113655901093,0.00012078679626064274,5,0,hdg
44,1,0.12648552168552965,8.646910640667605e-05,5,0,hdg
45,1,0.1206792640639329,0.00024931302431776994,5,0,hdg
46,1,0.11513953993264475,0.0003771267272526093,5,0,hdg
47,1,0.10985411419875583,0.0006799395339240684,5,0,hdg
48,1,0.10481131341546858,0.006865099764635053,5,0,hdg
49,1,0.1,0.0018184479604661998,5,0,hdg
50,2,1.0,0.0007936285015274809,5,0,hdg
51,2,0.9540954763499939,0.0007936285015274809,5,0,hdg
52,2,0.9102981779915219,0.0007936285015274809,5,0,hdg
53,2,0.8685113737513527,0.0007936285015274809,5,0,hdg
54,2,0.8286427728546845,0.0007936285015274809,5,0,hdg
55,2,0.79060432109077,0.0002753747545495793,5,0,hdg
56,2,0.7543120063354617,0.0002753747545405178,5,0,hdg
57,2,0.719685673001152,0.00027537475456470856,5,0,hdg
58,2,0.6866488450043001,0.0007936285015235458,5,0,hdg
59,2,0.655128556859551,0.00030242401566896816,5,0,hdg
60,2,0.6250551925273973,0.0003024240156717978,5,0,hdg
61,2,0.5963623316594643,0.0003024240156772936,5,0,hdg
62,2,0.5689866029018297,0.0003024240156711682,5,0,hdg
63,2,0.5428675439323861,0.0003024240156711682,5,0,hdg
64,2,0.5179474679231212,0.0003024240156717978,5,0,hdg
65,2,0.4941713361323835,0.0003024240156711682,5,0,hdg
66,2,0.4714866363457394,0.0004403606349850538,5,0,hdg
67,2,0.4498432668969446,0.0001992843685580602,5,0,hdg
68,2,0.42919342601287785,0.00019979364115403327,5,0,hdg
69,2,0.40949150623804254,0.00020002861557666168,5,0,hdg
70,2,0.39069399370546176,0.00014301372391053953,5,0,hdg
71,2,0.37275937203149406,0.00018392775983135706,5,0,hdg
72,2,0.3556480306223129,0.00018439434866829492,5,0,hdg
73,2,0.3393221771895329,0.000142915714107487,5,0,hdg
74,2,0.3237457542817644,0.0001443226211634346,5,0,hdg
75,2,0.3088843596477481,0.0001441215471134443,5,0,hdg
76,2,0.2947051702551811,0.00022810880048613027,5,0,hdg
77,2,0.28117686979742307,0.0006241470209522531,5,0,hdg
78,2,0.2682695795279726,0.00036186806806238553,5,0,hdg
79,2,0.2559547922699536,0.00016276679637968172,5,0,hdg
80,2,0.24420530945486515,0.00010652101505907414,5,0,hdg
81,2,0.23299518105153724,0.00010738482159617673,5,0,hdg
82,2,0.2222996482526195,9.310122119503931e-05,5,0,hdg
83,2,0.2120950887920191,8.2792010732915e-05,5,0,hdg
84,2,0.20235896477251572,0.0005954571408675689,5,0,hdg
85,2,0.19306977288832505,0.00025364480388110423,5,0,hdg
86,2,0.18420699693267165,0.00015588666998122956,5,0,hdg
87,2,0.1757510624854792,5.6359781905354246e-05,5,0,hdg
88,2,0.16768329368110083,5.484765935265214e-05,5,0,hdg
89,2,0.15998587196060585,6.60243419639644e-05,5,0,hdg
90,2,0.15264179671752337,4.5625806790429275e-05,5,0,hdg
91,2,0.1456348477501244,4.551462216391369e-05,5,0,hdg
92,2,0.13894954943731377,4.4427808017504475e-05,5,0,hdg
93,2,0.13257113655901093,3.929336588212279e-05,5,0,hdg
94,2,0.12648552168552965,3.6319774265433495e-05,5,0,hdg
95,2,0.1206792640639329,3.665444878422217e-05,5,0,hdg
96,2,0.11513953993264475,3.211315316508643e-05,5,0,hdg
97,2,0.10985411419875583,3.0456078839082145e-05,5,0,hdg
98,2,0.10481131341546858,2.6442563475769477e-05,5,0,hdg
99,2,0.1,2.5903191568540374e-05,5,0,hdg
100,3,1.0,0.00043313014969826474,5,0,hdg
101,3,0.9540954763499939,0.00043313014969826474,5,0,hdg
102,3,0.9102981779915219,0.00043313014969826474,5,0,hdg
103,3,0.8685113737513527,0.00043313014969826474,5,0,hdg
104,3,0.8286427728546845,0.00043313014969826474,5,0,hdg
105,3,0.79060432109077,0.00024363039897595484,5,0,hdg
106,3,0.7543120063354617,0.00024363046309356908,5,0,hdg
107,3,0.719685673001152,0.00024363041554594094,5,0,hdg
108,3,0.6866488450043001,0.00043313014962794707,5,0,hdg
109,3,0.655128556859551,0.00021905164979810172,5,0,hdg
110,3,0.6250551925273973,0.0002190516852186287,5,0,hdg
111,3,0.5963623316594643,0.0002190515659311625,5,0,hdg
112,3,0.5689866029018297,0.00021905163886298,5,0,hdg
113,3,0.5428675439323861,0.00021905163886298,5,0,hdg
114,3,0.5179474679231212,0.0002190516852186287,5,0,hdg
115,3,0.4941713361323835,0.00021905163886298,5,0,hdg
116,3,0.4714866363457394,0.0003953850496277925,5,0,hdg
117,3,0.4498432668969446,0.00024392189901461985,5,0,hdg
118,3,0.42919342601287785,0.0002440404081483078,5,0,hdg
