,A
261,47.14887957077311
262,47.18710724638741
263,47.029914768878065
264,47.05221507546719
265,47.03788354071133
266,47.135376477844495
267,46.900502901643314
268,47.36012042166617
269,47.21938337693327
270,47.116737132972766
271,47.30605370100027
272,47.12801029768446
273,46.660869979957646
274,47.147812640995284
275,47.57919818725054
276,46.760626724579616
277,47.189594062810706
278,46.80580476443252
279,47.25992153983469
280,46.775533618216656
281,47.662835061385394
282,46.831565188523
283,46.87557164526964
284,46.899125115588205
285,47.184144237653584
286,47.11667983443128
287,46.95546830969006
288,47.10519602022632
289,47.106581384974454
290,47.32427925911762
291,47.10542085217094
292,47.33758853688407
293,47.189278557866565
294,22691092.82235212
295,47.046177492825734
296,46.99586625448726
297,46.921473860938
298,4180482.3301330153
299,46.96823775428746
300,3934482.9822987122
301,47.13881935076255
302,2320583.703144403
303,47.136814412304936
304,34517402.33191264
305,47.09512251893026
306,47.24190865272766
307,47.200518121529875
308,46.95278849793929
309,47.41161862206898
310,47.134593529967404
311,47.33255451727463
312,47.23052314736633
313,47.1366904186053
314,47.03091912558526
315,47.00104572926494
316,46.9442455831668
317,46.981035079907905
318,46.943242615297585
319,46.95186479650771
320,46.94231802237564
321,46.812115812705954
322,46.87157877916703
323,47.38994443966885
324,15669491.525439259
325,46.47352772214245
326,47.28338761460994
327,47.002067341259476
328,47.17401825788614
329,47.02693468933234
330,47.10396819246849
331,46.93842819456632
332,47.15483717957844
333,46.85842633026016
334,47.17211068994151
335,47.47558024817047
336,47.23635145018885
337,47.18901921547915
338,47.26505890137001
339,47.48615817596827
340,47.00932442047498
341,46.96838675273318
342,46.72941518486046
343,47.03736432373923
344,46.86714359082661
345,46.93379593440808
346,46.65983014274877
347,47.037227119375544
348,47.10241414143586
349,47.11128628115479
350,47.03165720882386
351,47.427392034005
352,46.88685086494852
353,46.89298974184605
354,47.59000813860272
355,47.184956316043966
356,47.32679551182499
357,47.185325193641674
358,47.11451726610127
359,46.84371751446678
360,46.99740916021651
361,47.131556948083215
362,46.99461155048186
363,47.157451291748885
364,47.192900340203416
365,47.05402767334607
366,47.07031896261594
367,47.26742757576058
368,46.947154117533216
369,47.06141368019468
370,47.35903444437143
371,47.30890386844992
372,47.06133296377286
373,47.070654860863215
374,47.11507110617845
375,46.90899174002156
376,46.99992510800251
377,47.0692515737695
378,47.065659837459414
379,47.01953406072706
