,Order,Mesh Size,Error,Alpha,Bonus Int
180,1.0,1.0,0.024511763111525253,91.0,1.0
181,1.0,1.0,0.010303530518296184,91.0,3.0
182,1.0,1.0,0.009758562810180624,91.0,5.0
183,1.0,1.0,0.010277410088560113,91.0,7.0
184,1.0,1.0,0.010514389389143461,91.0,9.0
185,1.0,1.0,0.010448511797316335,91.0,11.0
186,1.0,1.0,0.010739657044828233,91.0,13.0
187,1.0,1.0,0.01876118481735476,91.0,15.0
188,1.0,1.0,0.0071123735830292325,91.0,17.0
189,1.0,1.0,0.004036555188906645,91.0,19.0
190,1.0,1.0,0.016669322298698046,96.0,1.0
191,1.0,1.0,0.007637074341230416,96.0,3.0
192,1.0,1.0,0.007537060939620013,96.0,5.0
193,1.0,1.0,0.007803288053110215,96.0,7.0
194,1.0,1.0,0.008236087712867829,96.0,9.0
195,1.0,1.0,0.009259678628934977,96.0,11.0
196,1.0,1.0,0.03876663903438495,96.0,13.0
197,1.0,1.0,0.0059586974614109665,96.0,15.0
198,1.0,1.0,0.004341232235951984,96.0,17.0
199,1.0,1.0,0.0036284757617639236,96.0,19.0
200,1.0,0.5,1462.0036552660736,1.0,1.0
201,1.0,0.5,0.012962878515453516,1.0,3.0
202,1.0,0.5,0.0022381308559462623,1.0,5.0
203,1.0,0.5,0.000533322205624083,1.0,7.0
204,1.0,0.5,0.0010179267941859188,1.0,9.0
205,1.0,0.5,0.004128810033705142,1.0,11.0
206,1.0,0.5,0.0006320919992234131,1.0,13.0
207,1.0,0.5,0.0005839565667037345,1.0,15.0
208,1.0,0.5,0.0147990773403772,1.0,17.0
209,1.0,0.5,0.0005591438236714539,1.0,19.0
210,1.0,0.5,13.263327881029914,6.0,1.0
211,1.0,0.5,0.01265660482152203,6.0,3.0
212,1.0,0.5,0.0019259793603053357,6.0,5.0
213,1.0,0.5,0.001206598981348374,6.0,7.0
214,1.0,0.5,0.01096249171197739,6.0,9.0
215,1.0,0.5,0.0005982129279275116,6.0,11.0
216,1.0,0.5,0.0005142629370821284,6.0,13.0
217,1.0,0.5,0.0004847928060806894,6.0,15.0
218,1.0,0.5,0.0007510993729255869,6.0,17.0
219,1.0,0.5,0.0004720867062670194,6.0,19.0
220,1.0,0.5,2.9093840938116378,11.0,1.0
221,1.0,0.5,0.012032445776445744,11.0,3.0
222,1.0,0.5,0.001738408311956629,11.0,5.0
223,1.0,0.5,0.0010878201974712843,11.0,7.0
224,1.0,0.5,0.0007531678551908315,11.0,9.0
225,1.0,0.5,0.0005993343017692512,11.0,11.0
226,1.0,0.5,0.000541937421140462,11.0,13.0
227,1.0,0.5,0.0005235393321478886,11.0,15.0
228,1.0,0.5,0.0005183072410360493,11.0,17.0
229,1.0,0.5,0.0005171402122943973,11.0,19.0
230,1.0,0.5,3.59019552096579,16.0,1.0
231,1.0,0.5,0.010906200155104675,16.0,3.0
232,1.0,0.5,0.001536272723635958,16.0,5.0
233,1.0,0.5,0.0009832604908902652,16.0,7.0
234,1.0,0.5,0.0007331968389842062,16.0,9.0
235,1.0,0.5,0.0006346876425323706,16.0,11.0
236,1.0,0.5,0.0006042558624111713,16.0,13.0
237,1.0,0.5,0.0005976866445428201,16.0,15.0
238,1.0,0.5,0.0006288559852474068,16.0,17.0
239,1.0,0.5,0.0005988165564195544,16.0,19.0
240,1.0,0.5,164.35652842595755,21.0,1.0
241,1.0,0.5,0.007522299145197686,21.0,3.0
242,1.0,0.5,0.0013272141801186435,21.0,5.0
243,1.0,0.5,0.0010698205702550634,21.0,7.0
244,1.0,0.5,0.0010009994940678476,21.0,9.0
245,1.0,0.5,0.0009911161763635152,21.0,11.0
246,1.0,0.5,0.000998350929274229,21.0,13.0
247,1.0,0.5,0.0010073673277326228,21.0,15.0
248,1.0,0.5,0.001013816404702058,21.0,17.0
249,1.0,0.5,0.0010175764265737968,21.0,19.0
250,1.0,0.5,4.39261316129334,26.0,1.0
251,1.0,0.5,0.019603253860392328,26.0,3.0
252,1.0,0.5,0.0071947978284655455,26.0,5.0
253,1.0,0.5,0.002535462459747243,26.0,7.0
254,1.0,0.5,0.0006405441119657614,26.0,9.0
255,1.0,0.5,0.0006828921447137455,26.0,11.0
256,1.0,0.5,0.0007552642024433302,26.0,13.0
257,1.0,0.5,0.0008026118913248149,26.0,15.0
258,1.0,0.5,0.0008286528395743518,26.0,17.0
259,1.0,0.5,0.000841726031828694,26.0,19.0
260,1.0,0.5,1.297157665416309,31.0,1.0
261,1.0,0.5,0.01215021945998379,31.0,3.0
262,1.0,0.5,0.005080014557805529,31.0,5.0
263,1.0,0.5,0.006169425522756293,31.0,7.0
264,1.0,0.5,0.014380143810129158,31.0,9.0
265,1.0,0.5,0.0024161577680037872,31.0,11.0
