,Order,Mesh Size,Error,Alpha,Bonus Int
65,1.0,1.0,0.0020232765757457684,3.0,5.0
66,1.0,1.0,0.0017519889440679559,3.0,6.0
67,1.0,1.0,0.001749483704448713,3.0,7.0
68,1.0,1.0,0.0016430783151964155,3.0,8.0
69,1.0,1.0,0.0016416658762112419,3.0,9.0
70,1.0,1.0,0.0015642762049557176,3.0,10.0
71,1.0,1.0,0.0015646074030546478,3.0,11.0
72,1.0,1.0,0.0015084772889646123,3.0,12.0
73,1.0,1.0,0.0015102047799826828,3.0,13.0
74,1.0,1.0,0.001470785312362847,3.0,14.0
75,1.0,1.0,0.0014730829416719487,3.0,15.0
76,1.0,1.0,0.0014463364598578496,3.0,16.0
77,1.0,1.0,0.0014485270307174347,3.0,17.0
78,1.0,1.0,0.0014310660558606873,3.0,18.0
79,1.0,1.0,0.0014329090772933362,3.0,19.0
80,1.0,1.0,0.006034297638956284,4.0,0.0
81,1.0,1.0,0.004864074485010464,4.0,1.0
82,1.0,1.0,0.0013263504124976114,4.0,2.0
83,1.0,1.0,0.0013293267297402266,4.0,3.0
84,1.0,1.0,0.0018303407118304455,4.0,4.0
85,1.0,1.0,0.0019554830952016643,4.0,5.0
86,1.0,1.0,0.0016763147856489742,4.0,6.0
87,1.0,1.0,0.0016732834652915466,4.0,7.0
88,1.0,1.0,0.0015669538534259558,4.0,8.0
89,1.0,1.0,0.0015650824836828425,4.0,9.0
90,1.0,1.0,0.0014888314330779857,4.0,10.0
91,1.0,1.0,0.001488804633373448,4.0,11.0
92,1.0,1.0,0.001434322697889098,4.0,12.0
93,1.0,1.0,0.0014358259938305766,4.0,13.0
94,1.0,1.0,0.0013981056408599885,4.0,14.0
95,1.0,1.0,0.0014002860722727316,4.0,15.0
96,1.0,1.0,0.0013749641757690842,4.0,16.0
97,1.0,1.0,0.0013770967499485407,4.0,17.0
98,1.0,1.0,0.0013606713153022085,4.0,18.0
99,1.0,1.0,0.0013624864052780017,4.0,19.0
100,1.0,1.0,0.1898082763127138,5.0,0.0
101,1.0,1.0,0.004577272138513698,5.0,1.0
102,1.0,1.0,0.0012648024116726424,5.0,2.0
103,1.0,1.0,0.0012688794090717002,5.0,3.0
104,1.0,1.0,0.0017693472179599965,5.0,4.0
105,1.0,1.0,0.001898967534402496,5.0,5.0
106,1.0,1.0,0.0016112340139716487,5.0,6.0
107,1.0,1.0,0.00160767068704071,5.0,7.0
108,1.0,1.0,0.0015012371289294412,5.0,8.0
109,1.0,1.0,0.0014988886302513857,5.0,9.0
110,1.0,1.0,0.0014236500836582995,5.0,10.0
111,1.0,1.0,0.0014232386623889903,5.0,11.0
112,1.0,1.0,0.0013702824358442689,5.0,12.0
113,1.0,1.0,0.0013715369093969354,5.0,13.0
114,1.0,1.0,0.0013354040092996091,5.0,14.0
115,1.0,1.0,0.0013374499914735446,5.0,15.0
116,1.0,1.0,0.0013134691413732014,5.0,16.0
117,1.0,1.0,0.0013155335123714684,5.0,17.0
118,1.0,1.0,0.0013000924201611859,5.0,18.0
119,1.0,1.0,0.0013018737319965953,5.0,19.0
120,1.0,1.0,1.5021404414068802,6.0,0.0
121,1.0,1.0,0.004324888616203753,6.0,1.0
122,1.0,1.0,0.001215649664820581,6.0,2.0
123,1.0,1.0,0.001219739494258045,6.0,3.0
124,1.0,1.0,0.0017164706850440257,6.0,4.0
125,1.0,1.0,0.0018490474302769316,6.0,5.0
126,1.0,1.0,0.0015551118352915925,6.0,6.0
127,1.0,1.0,0.001551014910564171,6.0,7.0
128,1.0,1.0,0.0014443496410314475,6.0,8.0
129,1.0,1.0,0.0014415082228284536,6.0,9.0
130,1.0,1.0,0.001367185227901081,6.0,10.0
131,1.0,1.0,0.0013663638621135075,6.0,11.0
132,1.0,1.0,0.0013148279275483061,6.0,12.0
133,1.0,1.0,0.0013158094463930424,6.0,13.0
134,1.0,1.0,0.0012811621793593915,6.0,14.0
135,1.0,1.0,0.001283056592046706,6.0,15.0
136,1.0,1.0,0.001260338922606396,6.0,16.0
137,1.0,1.0,0.0012623249754744395,6.0,17.0
138,1.0,1.0,0.0012478203642925013,6.0,18.0
139,1.0,1.0,0.0012495621858500158,6.0,19.0
140,1.0,1.0,0.16279751464061032,7.0,0.0
141,1.0,1.0,0.07302890901946868,7.0,1.0
142,1.0,1.0,0.0011724382867440175,7.0,2.0
143,1.0,1.0,0.001174792822575224,7.0,3.0
144,1.0,1.0,0.0016726637050995432,7.0,4.0
145,1.0,1.0,0.0018077064740350892,7.0,5.0
146,1.0,1.0,0.0015066130541107157,7.0,6.0
147,1.0,1.0,0.0015019846468316204,7.0,7.0
148,1.0,1.0,0.0013950053593456979,7.0,8.0
149,1.0,1.0,0.0013916575021942054,7.0,9.0
150,1.0,1.0,0.0013181803933500573,7.0,10.0
151,1.0,1.0,0.0013169251563614804,7.0,11.0
152,1.0,1.0,0.0012667201869281384,7.0,12.0
153,1.0,1.0,0.001267405244766497,7.0,13.0
154,1.0,1.0,0.001234150454269974,7.0,14.0
155,1.0,1.0,0.0012358763878181998,7.0,15.0
156,1.0,1.0,0.0012143482878131512,7.0,16.0
157,1.0,1.0,0.001216246026553553,7.0,17.0
158,1.0,1.0,0.0012026319927448213,7.0,18.0
159,1.0,1.0,0.0012043287507874521,7.0,19.0
160,1.0,1.0,0.18659706230213863,8.0,0.0
161,1.0,1.0,0.03720967960806559,8.0,1.0
162,1.0,1.0,0.0011362519445320472,8.0,2.0
163,1.0,1.0,0.0011321664590743681,8.0,3.0
164,1.0,1.0,0.0016344016711925247,8.0,4.0
165,1.0,1.0,0.0017713555490386412,8.0,5.0
166,1.0,1.0,0.0014646446494042654,8.0,6.0
167,1.0,1.0,0.001459490007067245,8.0,7.0
168,1.0,1.0,0.001352154371278882,8.0,8.0
169,1.0,1.0,0.0013482887037436027,8.0,9.0
170,1.0,1.0,0.0012756131531125488,8.0,10.0
171,1.0,1.0,0.001273901603099381,8.0,11.0
172,1.0,1.0,0.001224952941954314,8.0,12.0
173,1.0,1.0,0.0012253187752755436,8.0,13.0
174,1.0,1.0,0.0011933703293742761,8.0,14.0
175,1.0,1.0,0.0011949111484277305,8.0,15.0
176,1.0,1.0,0.0011745014940355448,8.0,16.0
177,1.0,1.0,0.0011763010551982052,8.0,17.0
178,1.0,1.0,0.001163532030825358,8.0,18.0
179,1.0,1.0,0.0011651782840677901,8.0,19.0
180,1.0,1.0,0.006136515733725887,9.0,0.0
181,1.0,1.0,0.025063011103586316,9.0,1.0
182,1.0,1.0,0.0011057736483103967,9.0,2.0
183,1.0,1.0,0.0011079363283537855,9.0,3.0
184,1.0,1.0,0.0016034275866218183,9.0,4.0
185,1.0,1.0,0.0017411158047273077,9.0,5.0
186,1.0,1.0,0.001428311384701382,9.0,6.0
187,1.0,1.0,0.0014226383840275326,9.0,7.0
188,1.0,1.0,0.0013149397830070574,9.0,8.0
189,1.0,1.0,0.0013105469870542746,9.0,9.0
190,1.0,1.0,0.0012386521782064717,9.0,10.0
191,1.0,1.0,0.0012364634531213208,9.0,11.0
192,1.0,1.0,0.0011887094888271218,9.0,12.0
193,1.0,1.0,0.0011887341890758029,9.0,13.0
194,1.0,1.0,0.0011580111237410604,9.0,14.0
195,1.0,1.0,0.001159350521216456,9.0,15.0
196,1.0,1.0,0.0011399887609928935,9.0,16.0
197,1.0,1.0,0.001141680417047718,9.0,17.0
198,1.0,1.0,0.0011297094610396565,9.0,18.0
199,1.0,1.0,0.0011312998840378832,9.0,19.0
200,1.0,1.0,0.0061586287956411434,10.0,0.0
201,1.0,1.0,0.018949218299514153,10.0,1.0
202,1.0,1.0,0.0010809356641162384,10.0,2.0
203,1.0,1.0,0.0010820751469512561,10.0,3.0
204,1.0,1.0,0.0015741403306043604,10.0,4.0
205,1.0,1.0,0.0017120392152199463,10.0,5.0
206,1.0,1.0,0.0013968805838937774,10.0,6.0
207,1.0,1.0,0.0013906993055479752,10.0,7.0
208,1.0,1.0,0.0012826642501730344,10.0,8.0
209,1.0,1.0,0.0012777370073157187,10.0,9.0
210,1.0,1.0,0.0012066240182105408,10.0,10.0
211,1.0,1.0,0.0012039389497844981,10.0,11.0
212,1.0,1.0,0.0011573294559014949,10.0,12.0
213,1.0,1.0,0.0011569920876169327,10.0,13.0
214,1.0,1.0,0.0011274167003224316,10.0,14.0
215,1.0,1.0,0.0011285387489078267,10.0,15.0
216,1.0,1.0,0.0011101529814208538,10.0,16.0
217,1.0,1.0,0.001111727138360343,10.0,17.0
218,1.0,1.0,0.0011005042492757268,10.0,18.0
219,1.0,1.0,0.001102033609869616,10.0,19.0
220,1.0,1.0,0.09058423724101877,11.0,0.0
221,1.0,1.0,0.015268121994663937,11.0,1.0
222,1.0,1.0,0.0010605571168171807,11.0,2.0
223,1.0,1.0,0.001062771035257933,11.0,3.0
224,1.0,1.0,0.0015512437203009043,11.0,4.0
225,1.0,1.0,0.0016895390732330716,11.0,5.0
226,1.0,1.0,0.001369755640045233,11.0,6.0
227,1.0,1.0,0.0013630780380251828,11.0,7.0
228,1.0,1.0,0.0012547635621259952,11.0,8.0
229,1.0,1.0,0.0012492965487302709,11.0,9.0
230,1.0,1.0,0.0011789870217368366,11.0,10.0
231,1.0,1.0,0.0011757882795670636,11.0,11.0
