,Order,Mesh Size,Error,Alpha,Bonus Int
101,1.0,1.0,81047.68967493674,51.0,3.0
102,1.0,1.0,0.00745385401812839,51.0,5.0
103,1.0,1.0,0.004761314688906724,51.0,7.0
104,1.0,1.0,0.004360748647971651,51.0,9.0
105,1.0,1.0,0.003879990748174709,51.0,11.0
106,1.0,1.0,0.0033290498447243843,51.0,13.0
107,1.0,1.0,0.0028343597996310617,51.0,15.0
108,1.0,1.0,0.002464659329559524,51.0,17.0
109,1.0,1.0,0.0022190574666994117,51.0,19.0
110,1.0,1.0,0.0046487500398848195,56.0,1.0
111,1.0,1.0,185972.17210784458,56.0,3.0
112,1.0,1.0,0.007395999254395866,56.0,5.0
113,1.0,1.0,0.004534606283930414,56.0,7.0
114,1.0,1.0,0.004129505980899211,56.0,9.0
115,1.0,1.0,0.0036619738960199204,56.0,11.0
116,1.0,1.0,0.0031304440347368167,56.0,13.0
117,1.0,1.0,0.002652236502361672,56.0,15.0
118,1.0,1.0,0.0022935045502951094,56.0,17.0
119,1.0,1.0,0.002054670032063519,56.0,19.0
120,1.0,1.0,0.0044947520364341294,61.0,1.0
121,1.0,1.0,1896810.3501146468,61.0,3.0
122,1.0,1.0,0.007241940316017533,61.0,5.0
123,1.0,1.0,0.004323310484732105,61.0,7.0
124,1.0,1.0,0.003918837572897791,61.0,9.0
125,1.0,1.0,0.0034669547395057595,61.0,11.0
126,1.0,1.0,0.0029567608500928894,61.0,13.0
127,1.0,1.0,0.0024970009119905704,61.0,15.0
128,1.0,1.0,0.002151081048210772,61.0,17.0
129,1.0,1.0,0.001920469316539499,61.0,19.0
130,1.0,1.0,0.004352794072777194,66.0,1.0
131,1.0,1.0,0.003606941258086293,66.0,3.0
132,1.0,1.0,0.007081004745159339,66.0,5.0
133,1.0,1.0,0.004125824733028497,66.0,7.0
134,1.0,1.0,0.0037251575778464276,66.0,9.0
135,1.0,1.0,0.003290220195847725,66.0,11.0
136,1.0,1.0,0.002802365666655459,66.0,13.0
137,1.0,1.0,0.0023622092861508973,66.0,15.0
138,1.0,1.0,0.0020302900838007373,66.0,17.0
139,1.0,1.0,0.001808881394199855,66.0,19.0
140,1.0,1.0,0.004219849061437234,71.0,1.0
141,1.0,1.0,675110.8792997119,71.0,3.0
142,1.0,1.0,0.0068974223469615735,71.0,5.0
143,1.0,1.0,0.003940498052905017,71.0,7.0
144,1.0,1.0,0.0035455877725724607,71.0,9.0
145,1.0,1.0,0.003128222013782013,71.0,11.0
146,1.0,1.0,0.0026631575906467747,71.0,13.0
147,1.0,1.0,0.002243257163163368,71.0,15.0
148,1.0,1.0,0.0019261031265660083,71.0,17.0
149,1.0,1.0,0.0017145609435922954,71.0,19.0
150,1.0,1.0,26.693309261591253,76.0,1.0
151,1.0,1.0,0.0032326294443965516,76.0,3.0
